Original_id,Tag,Question,Answer,Source
396, FAQs on Permanent Account Number ,if my pan card is lost then what to do,"If the PAN card is lost xa0 , or you xa0wish to have a new PAN card with existing details , , then you can apply for duplicate PAN card by submitting the Form for Request for New PAN Card or and Changes or Correction in PAN Data and a copy of FIR may be submitted along with the form. , If the PAN card is lost and you don t remember your PAN, then in such a case, you can know you PAN by using the facility of Know Your PAN provided by the Income Tax Department. This facility can be availed of from the website of Income Tax Department   www.incometaxindiaefiling.gov.in , You can know your PAN online by providing the core details like Name, Father s Name and Date of Birth. , xa0 , n , After knowing the PAN you can apply for duplicate PAN card by submitting the Request For New PAN Card Or And Changes Or Correction in PAN Data . , n , Applicant is required to fill all the columns in the form xa0 , but should not tick , xa0any of the boxes on the left margin. xa0",Original
397, FAQs on Permanent Account Number ,what is the validity of pan,", PAN obtained once is valid for nlife time of the PAN holder throughout India. It is not affected by nchange of address or change of Assessing Officer etc. However, any nchange in the PAN database i.e. details provided at the time of nobtaining PAN should be intimated to the Income Tax Department by nfurnishing the details in the form for Request For New PAN Card Or And n Changes or Correction in PAN Data .",Original
398, FAQs on Permanent Account Number ,how to apply for pan correction,"Any change in the PAN database i.e. details provided at the time of obtaining PAN should be intimated to the Income tax Department by furnishing the details in the form for Request For New PAN Card Or And Changes or Correction in PAN Data . , n , PAN correction can be done both online or offline mode. , n , For offline mode, you are required to submit the Request For New PAN Card Or And Changes or Correction in PAN Data form at the nearest PAN facilitation centre. , n , Request For New PAN Card Or And Changes or Correction in PAN Data , n , Online through NSDL , n , n , https www.onlineservices.nsdl.com paam endUserRegisterContact.html , n , n , Online through UTIITSL , n , https www.myutiitsl.com PAN ONLINE CSFPANApp , n , n , Download PDF , n , https www.utiitsl.com UTIITSL SITE forms CSF Form Updated.pdf , n , n",Original
399, FAQs on Permanent Account Number ,what is the penalty for not complying with the provisions relating to pan,"n , Section 272B , provides for penalty in case of default by the taxpayer in complying with the provisions relating to PAN, i.e., not obtaining PAN, even though he is liable to obtain PAN or knowingly quoting incorrect PAN in any prescribed document in which PAN is to be quoted or intimating incorrect PAN to the person deducing tax or person collecting tax. Penalty of Rs. 10,000 under n , se ction 272B , xa0can be levied.",Original
400, FAQs on Permanent Account Number ,can a person hold more than one pan,"A person cannot hold more than one PAN. If a PAN is allotted to a person, then he cannot apply for obtaining another PAN. A penalty of Rs. 10,000   is liable to be imposed under n , Section 272B , of the Income tax Act, 1961 for having more than one PAN. , If a person has been allotted more than one PAN then he should immediately surrender the additional PAN card s .",Original
401, FAQs on Permanent Account Number ,by mistake i have been using different pans for different purposes like one for my demat account and another for filing my income tax return and payment of taxes how do i set this right,"It is advisable to retain only one PAN, preferably the one used for Income tax purpose and surrender the other number immediately. The institutions where the latter number has been quoted should be informed of the correct PAN.",Original
402, FAQs on Permanent Account Number ,whom to contact in case of any matter relating to pan,"In case of PAN card is not received , contact NSDL. , The Income Tax Department or NSDL can be contacted in any of the following means , n , Mode , n , n , Income Tax Department , n , n , NSDL , n , n , Website , www.incometaxindia.gov.in , www.tin nsdl.com , n , n , Call , , Center , 1800 180 1961 , 020 27218080 , n , n , Email ID , xa0efilingwebmanager incometax.gov.in , n , n , n , tininfo nsdl.co.in , n , n , SMS , xa0 , SMS NSDLPAN space Acknowledgement No. send to , 57575 to obtain application status. , n , Address , xa0 , n , Tin Call Center 4th Floor, Mantri Sterling, Plot No. 341, Survey , No. 997 8, Model Colony, Near Deep Bunglow Chowk, Pune   411 016. , xa0",Original
403, FAQs on Permanent Account Number ,how to get area code for my area for allotment of pan,"It is mandatory to provide the AO Code while applying for PAN and TAN. AO Code i.e., Area Code, AO Type, Range Code and AO Number of the Jurisdictional Assessing Officer must be filled up by the applicant. These details can be obtained from following links , xa0 , , n , https tin.tin.nsdl.com pan servlet AOSearch , n , Click on above link , xa0 , for AO Code of PAN. , , https tin.tin.nsdl.com tan servlet TanAOSearch , n , Click on above link , xa0 , for AO Code of TAN.",Original
404, FAQs on Permanent Account Number ,what is pan verification how can i verify the pan from where a deductor can verify the pan,"This functionality helps deductor in verifying whether the PAN provided by the deductee Tax Payer is valid as per Income Tax Department database. , n , https www1.incometaxindiaefiling.gov.in e FilingGS Services VerifyYourPanDeatils.html?lang eng , n , Alternatively PAN verification can be done from TRACES. , Login to TRACES as deductor and click on PAN Verification under Statements Payments tab. xa0 , Enter PAN and select Form Type and proceed. Status of the PAN whether valid invalid and name of PAN holder will be displayed as per PAN database.",Original
405, FAQs on Permanent Account Number ,what is e pan,"E PAN is the PAN provided in PDF format rather than physical card. The E PAN card in PDF format will be sent to e mail ID mentioned in PAN application form. If the physical PAN Card is not required, then PAN applicant will have to indicate at the time of submission of PAN application. In such cases, Email ID will be mandatory E PAN Card will be sent to the PAN applicant at the email ID. Physical PAN Card will not be dispatched in such cases. Charges for E PAN card is different from physical PAN card.",Original
406, FAQs on Statement of Financial Transactions and Reportable Accounts ,what is statement of financial transaction or reportable account previously called as annual information return air,"As per n , section 28 5BA , of the Income tax Act, 1961 as substituted by Finance Act, 2014 w.e.f. 01 04 2015 , specified entities Filers are required to furnish a statement of financial transaction or reportable account hereinafter referred to as statement in respect of specified financial transactions or any reportable account registered recorded maintained by them during the financial year to the income tax authority or such other prescribed authority. , xa0 ,",Original
407, FAQs on Statement of Financial Transactions and Reportable Accounts ,who is required to furnish statement of financial transactions and reportable accounts,"n , , Following persons shall be required to furnish statement of financial transactions or reportable accounts registered or recorded or maintained by them during a financial year to the prescribed authority , a an assessee , xa0 , b the prescribed person in the case of an office of Government , xa0 , c a local authority or other public body or association , d the Registrar or Sub Registrar appointed under , section 6 , of the Registration Act, 1908 16 of 1908 , xa0 , e the registering authority empowered to register motor vehicles under Chapter IV of the Motor Vehicles Act, 1988 59 of 1988 , xa0 , f the Post Master General as referred to in clause j of secti on 2 of the Indian Post Office Act, 1898 6 of 1898 , xa0 , g the Collector referred to in clause g of section 3 of the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement Act, 2013 30 of 2013 , xa0 , h the recognised stock exchange referred to in clause f of , section 2 , of the Securities Contracts Regulation Act, 1956 42 of 1956 , xa0 , i an officer of the Reserve Bank of India, constituted under , section 3 , of the Reserve Bank of India Act, 1934 2 of 1934 , xa0 , j a depository referred to in clause e of sub section 1 of , section 2 , of the Depositories Act, 1996 22 of 1996 or , xa0 , k a prescribed reporting financial institutions , xa0 , n , n , Sl. No. , n , n , Nature and value of transaction , n , n , Class of person reporting person , 1 , a Payment made in cash for purchase of bank drafts or pay orders or banker s cheque of an amount aggregating to Rs. 10 lakh or more in a financial year. , n , b Payments made in cash aggregating to Rs. 10 lakh or more during the financial year for purchase of pre paid instruments issued by Reserve Bank of India. , c Cash deposits or cash withdrawals including through bearer s cheque aggregating to Rs. 50 lakh or more in a financial year, in or from one or more current account of a person. , A banking company or a co operative bank , 2 , Cash deposits aggregating to Rs. 10 Lakh or more in a financial year, in one or more accounts other than a current account and time deposit of a person. , i A banking company or a co operative bank , n , ii Post Master General , 3 , One or more time deposits other than a time deposit made through renewal of another time deposit of a person aggregating to Rs. 10 lakh or more in a financial year of a person. , i A banking company or a co operative bank n , n , ii Post Master General , iii Nidhi Company , iv Non banking financial company , 4 , Payments made by any person of an amount aggregating to , n , i Rs. 1 lakh or more in cash or , ii Rs. 10 lakh or more by any other mode, against bills raised in respect of one or more credit cards issued to that person, in a financial year. , A banking company or a co operative bank or any other company or institution issuing credit card. , 5 , Receipt from any person of an amount aggregating to Rs. 10 lakh or more in a financial year for acquiring bonds or debentures issued by the company or institution other than the amount received on account of renewal of the bond or debenture issued by that company . , A company or institution issuing bonds or debentures. , 6 , Receipt from any person of an amount aggregating to Rs. 10 lakh or more in a financial year for acquiring shares including share application money issued by the company. , A company issuing shares. , 7 , Buy back of shares from any person other than the shares bought in the open market for an amount or value aggregating to Rs. 10 lakh or more in a financial year. , A company listed on a recognised stock exchange purchasing its own securities under section 68 of the Companies Act, 2013 , 8 , Receipt from any person of an amount aggregating to Rs. 10 lakh or more in a financial year for acquiring units of one or more schemes of a Mutual Fund other than the amount received on account of transfer from one scheme to another scheme of that Mutual Fund . , A trustee of a Mutual Fund or such other person managing the affairs of the Mutual Fund , 9 , Receipt from any person for sale of foreign currency including any credit of such currency to foreign exchange card or expense in such currency through a debit or credit card or through issue of travellers cheque or draft or any other instrument of an amount aggregating to Rs. 10 lakh or more during a financial year. , Authorised person as referred to in clause c of section 2 of the Foreign Exchange Management Act, 1999 42 of 1999 . , 10 , Purchase or sale by any person of immovable property for an amount of Rs. 30 lakh or more or valued by the stamp valuation authority referred to in section 50C of the Act at Rs. 30 lakh or more. , Inspector General or Registrar or Sub Registrar appointed under the Registration Act, 1908 , 11 , Receipt of cash payment exceeding Rs. 2 lakh for sale, by any person, of goods or services of any nature other than those specified at Sl. Nos. 1 to 10 of this rule, if any. , Any person who is liable for audit under section 44AB of the Act. , 12 , Cash deposits during the period 9th November, 2016 to 30th December, 2016 aggregating to , n , i Rs. 12,50,000 or more, in one or more current account of a person or , ii Rs. 2,50,000 or more, in one or more accounts other than a current account of a person. , i A banking company or a co operative bank to which the Banking Regulation Act, 1949 applies n , ii Post Master General as referred to in clause j of section 2 of the Indian Post Office Act, 1898 , , 13 , Cash deposits during the period 1st of April, 2016 to 9th November, 2016 in respect of accounts that are reportable under SI.No.12 because cash deposited in this account between 9th November, 2016 to 30th December, 2016 aggregating to , n , i Rs. 12,50,000 or more, in one or more current account of a person or , ii Rs. 2,50,000 or more, in one or more accounts other than a current account of a person. , i A banking company or a co operative bank to which the Banking Regulation Act, 1949 applies n , ii Post Master General as referred to in clause j of section 2 of the Indian Post Office Act, 1898 , ,",Original
408, FAQs on Statement of Financial Transactions and Reportable Accounts ,what is the due date for filing of statement of financial transaction or reportable account by prescribed reporting financial institution,"In order to facilitate effective exchange of information in respect of resident and non resident, n , Section 285BA , also provides for furnishing of statement by a prescribed reporting financial institution in respect of specified financial transaction or reportable account. The statement shall be furnished for each calendar year in n , Form No. 61B , on or before 31st May of the next year. For more details, see n , rules 114F , , n , 114G , and n , 114H , of the Income tax Rules, 1962",Original
409, FAQs on Statement of Financial Transactions and Reportable Accounts ,what is the mode and due date for filing of statement of financial transaction or reportable account,"The statement of financial transaction shall be furnished electronically under digital signature in n , Form No. 61A , to the Director of Income tax Intelligence and Criminal Investigation or the Joint Director of Income tax Intelligence and Criminal Investigation . However a Post Master General or a Registrar or an Inspector General may furnish n , Form No. 61A , in a computer readable media being a Compact Disc or Digital Video Disc DVD , alongwith the verification in n , Form V , on paper. , Further, the statement shall be furnished on or before 31st May immediately following the financial year in which the transaction is registered or recorded. , However, the statement of financial transaction in respect of the transactions listed at serial number 12 and serial number 13 in the Table given in aforesaid FAQ, shall be furnished on or before the 31st day of January, 2017.",Original
410, FAQs on Statement of Financial Transactions and Reportable Accounts ,is there any remedy available under the act if a person does not file the statement within the prescribed time,", Sectio n 285BA 5 , empower the tax authorities to issue a notice to the person who had not filed the statement within prescribed time. In such a case, the tax authorities may serve upon such person a notice requiring him to furnish the statement within a period not exceeding 30 days from the date of service of such notice and in such a case the person shall furnish the statement within the time as specified in the notice.",Original
411, FAQs on Statement of Financial Transactions and Reportable Accounts ,what are the consequences of not filing statement of financial transaction or reportable account,"Non furnishing of statement of financial transaction or reportable account will attract penalty under n , section 271FA , . Penalty can be levied of Rs. 100 per day of default. , xa0 , However, n , section 285BA 5 , as discussed earlier empower the tax authorities to issue a notice to the person directing him to file the statement within a period not exceeding 30 days from the date of service of such notice and in such a case person shall furnish the statement within the time specified in the notice. If person fails to file the statement within the specified time, then a penalty of Rs. 500 per day will be levied from the day immediately following the day on which the time specified in such notice for furnishing the statement expires.",Original
412, FAQs on Statement of Financial Transactions and Reportable Accounts ,is there any remedy available under the act if a person filed inaccurate or defective statement,"If any person, after filing the statement, comes to know or discovers any inaccuracy in the information provided in the statement, he shall inform such inaccuracy to the prescribed income tax authority within a period of ten days and furnish the correct information in such manner as may be prescribed. , xa0 , On the other hand, the prescribed income tax authority may also intimate the defect to the person and give him an opportunity of rectifying the defect within a period of thirty days from the date of such intimation or within such extended period as may be allowed by prescribed income tax authority. , However, if a person fails to rectify the defect within the said period than such statement shall be treated as an invalid statement and the provisions of this Act shall apply as if such person had failed to furnish the statement.",Original
413, FAQs on Statement of Financial Transactions and Reportable Accounts ,what are the consequences for furnishing inaccurate statement of financial transaction or reportable account,"If a prescribed reporting financial institution referred to in n , Section 285BA 1 k , who is required to furnish statement of financial transaction or reportable account, provides inaccurate information in the statement, and where , a the inaccuracy is due to a failure to comply with the due diligence requirement prescribed under n , section 285BA 7 , or is deliberate on the part of that person , b the person knows of the inaccuracy at the time of furnishing the statement but does not inform the prescribed income tax authority or such other authority or agency , c the person discovers the inaccuracy after the statement is furnished and fails to inform and furnish correct information within a period of 10 days as specified under n , section 285BA 6 , , , xa0 , then, the prescribed income tax authority may direct that such person shall pay, by way of penalty, a sum of fifty thousand rupees. , xa0 ,",Original
414, FAQs on e-Filing and Related Issues ,faqs from income tax india e filing portal,"To see the FAQs from income tax india e Filing portal , please visit at , https incometaxindiaefiling.gov.in ,",Original
415, FAQs on e-Filing and Related Issues ,how much time for receiving intimation u s 143 1,"Processing of return is done by Centralized Processing Cell CPC via Intimation under n , section 143 1 , . An intimation n , u s 143 1 , is sent within one year from the end of the financial year in which return of income is filed.",Original
416, FAQs on e-Filing and Related Issues ,what is the due date of filing itr for a y 2018 19,"n , Section 139 1 , xa0of the Income Tax Act, 1961 specifies the due dates for Income Tax Return for different categories of assessee and are as under , Category of assessee , xa0Due Date for A.Y 2018 19 , In case of an assessee who is required to furnish report in respect of International transaction s Specified Domestic transactions xa0 , u s 92E , xa0of the Income Tax Act , 30th November, 2018 , In case assessee is a company , 30th September, 2018 , In case of an individual whose accounts are liable for audit under any law or is a working partner in a firm whose accounts are liable for audit under any law. xa0 , 30th September, 2018 , In case of an assessee other than above , 31st July, 2018 , xa0 , However, any person who has not furnished a return of income within the time period allowed under xa0 , 139 1 , , may furnish return for any previous year at any time before the end of the relevant assessment year or before completion of the assessment, whichever is earlier. xa0 , Last date for filing ITR for A.Y 2018 19 is 31st March, 2019.",Original
417, FAQs on e-Filing and Related Issues ,what is the procedure to file form 10a,", Form 10A , shall be furnished electronically online on E filing website. Procedure to file , Form 10A , on e filing website is as follows   , n , Step 1 , xa0  Log on to n , E filing , portal through n , https incometaxindiaefiling.gov.in , n , Step 2 ,   Go to n , E file , menu located at the upper  left side of the page and click on n , Income Tax Forms , , n , Step 3 ,   Select Assessment Year and Form 10A from drop down list . , n , Step 4 , xa0  Select the , submission mode , as n , Prepare and submit online , from the drop down list and click on , continue , . , n , Step 5 ,   Read the instructions carefully before filing the Form and click on n , submit , to complete the process. , xa0 , An application made in n , Form No. 10A , shall be accompanied by the following documents , xa0 , a where the trust is created, or the institution is established, under an instrument, self certified copy of the instrument creating the trust or establishing the institution , b where the trust is created, or the institution is established, otherwise than under an instrument, self certified copy of the document evidencing the creation of the trust, or establishment of the institution , c self certified copy of registration with Registrar of Companies or Registrar of Firms and Societies or Registrar of Public Trusts, as the case may be , d self certified copy of the documents evidencing adoption or modification of the objects, if any",Original
418, FAQs on e-Filing and Related Issues ,does an assessee needs to file form 61a if he is covered under tax audit although he has not entered into any specific transactions,", Section 285BA , of the Income Tax Act, 1961 requires specified reporting persons to furnish statement of financial transaction. n , rule 114E , of the Income Tax Rules, 1962 specifies that the statement of financial transaction required to be furnished under sub section 1 of n , section 285BA , of the Act shall be furnished in n , Form No. 61A , . It is the not mandatory to file NIL statement of Financial Transaction Form 61A . However, an assessee has to file preliminary response.",Original
419, FAQS on Return on Income ,what is the eligibility for claiming rebate u s 87a,"Following are the conditions for claiming rebate under n , section 87A , , xa0 xa0 An assessee is a resident Individual , xa0 xa0 Total Income does not exceed Rs. 5,00,000 in the A.Y 2020 21 Rs. 3,50,000 till A.Y 2019 20 , xa0 xa0 Rebate is 100 of Income tax or Rs. 12,500, whichever is less in the A.Y 2020 21 Rs. 2,500 till A.Y 2018 19 , xa0 Rebate under n , section 87A , is not available to a non resident individual, resident or non resident HUF AOP BOI and company.",Original
420, FAQS on Return on Income ,which itr form is applicable for lic agent,"LIC agent can use n , ITR 3 , as LIC agent receiving the commission from insurance company.",Original
421, FAQS on Return on Income ,how to file return of income,"Return of income can be filed either in hard cop y Only ITR 1 4 in specified cases at the local office of the Income tax Department or can be electronically filed at www.incometaxindiaefiling.gov.in n , n , ITR , Description , n , , , n , n , ITR 1 SAHAJ , For Individuals being xa0 a resident other than not ordinarily resident xa0 having Income from Salaries, One house property, Other sources Interest etc. and having total xa0 income upto Rs. 50 lakhs , n , n , PDF , n , Instructions , n , e File , , , , n , n , ITR 2 , It is applicable to an individual and HUFs whose income chargeable to income tax under the head Profits or gains of business or profession is in the nature of interest, salary, bonus, commission or remuneration, by whatever name called, due to, or received by him from a partnership firm. , n , n , PDF , n , Instructions , n , e File , , , n , n , ITR 3 , It is applicable to an individual or a Hindu Undivided Family who is carrying on a proprietory business or profession. , n , n , PDF , n , Instructions , n , e File , , , n , n , ITR 4 , Also known as SUGAM is applicable to individuals or Hindu Undivided Family or partnership firm other than limited liability partnership firm who have opted for the presumptive taxation scheme of n , section 44AD , n , 44ADA , , 44AE , . , n , n , PDF , n , Instructions , n , e File , , , n , View Previous Year Return Forms , , Visit the below link for step by step guide for e Filing of Income tax return , n , https www.incometaxindia.gov.in Pages tax services file income tax return.aspx",Original
422, FAQS on Return on Income ,can total deductions exceeds the gross total income gti,"Deductions provided under Chapter VIA of the Income tax Act, cannot exceed the Gross Total Income GTI . Income here means all the income accumulated in the GTI and reduced by the incomes mentioned below. , Long term Capital Gain LTCG under n , section 112 , of the Act , Long Term Capital Gain LTCG under n , section 112A , of the Act Applicable from A.Y 2018 19 , Short Term Capital Gains STCG under n , section 111A , of the Act , Incomes referred to in n , sections 115A , , n , 115AB , , n , 115AC , , n , 115AD , , n , 115BBA , and n , 115D , Casual incomes like winnings from lotteries, horse races, etc., under n , section 58 4 , of the Act.",Original
423, FAQS on Return on Income ,do i need to file the income tax return even when i have paid all the taxes in advance,"Filing of the income tax return is mandatory for every person who has income higher than the taxable income. , Even when the advance taxes have been paid, the same need to be reported to the Department through Income tax return filing procedure. , This completes the self assessment of income and taxes are computed on the same. , Failure to file the income tax return will attract levy of penalty. , Form 26AS , reflects the taxes which have been reported by the third party to whom the taxes have been deposited or by whom the taxes have been deducted. , Income tax return helps in reconciling the records as submitted by assessee and as per Income tax department records. , Assessee claims refund.",Original
424, FAQS on Return on Income ,tds has been deposited under wrong pan how can i claim that tds,"TDS credit must be checked in , Form 26AS , before filing of Income tax return. If it is not reflected correctly there may be several reasons like n , xa0 xa0 TDS is not deposited by deductor , xa0 xa0 TDS is deposited but return is not filed by deductor , xa0 xa0 TDS is wrongly deposited under some other PAN , xa0 xa0 TDS credit is not updated in , Form 26AS , xa0 xa0 Any other reason , When deductor deposits TDS under some wrong PAN, he has to make correction in the statement for PAN. In some cases, online PAN correction can also be made. , Assessee can claim TDS in Income tax return after that PAN correction.",Original
425, FAQs on Income from other source ,is dividend received in excess of rs 10 00 000 taxable in the hands of shareholders,"xa0 As per n , n , section 115BBDA , , , dividend received in excess of Rs. 10,00,000 is taxable in the hands of shareholders in case following conditions are fulfilled   n , xa0 xa0 Person receiving dividend is a resident Individual or HUF or firm , xa0 xa0 Dividend received from a domestic company is in excess of Rs. 10,00,000 , xa0 xa0 In case above mentioned conditions are fulfilled, dividend in excess of Rs. 10,00,000 is taxable at the rate of 10 . , xa0 xa0 n , Section 115BBDA , is applicable from AY 2017 2018. , xa0 xa0 n , Section 115BBDA , is not applicable on dividend specified in n , section 2 22 e , . loan advance paid to shareholder holding more than 10 voting rights n , OR , to a business entity in which such shareholder has substantial interest , xa0 xa0 n , W.e.f AY 2018 2019 , , n , Section 115BBDA , would be applicable to all persons except following   , xa0 xa0 Domestic company , xa0 xa0 Charitable Trust or institution registered under Income Tax Act , xa0 xa0 Fund, Instituition, Trust, University, Educational Institution, Hospital, Other medical institution referred to in n , Section 10 23C , of the Income Tax Act.",Original
426, FAQs on Income from other source ,what is casual income,"Casual income means any receipts which are of a casual and non recurring nature. nFor example, income earned by way of winnings from lotteries, races including horse races, crossword puzzles, etc. n",Original
427, FAQs on Income from other source ,under which head pension received from employee provident fund organization under employee pension scheme 1995 eps 95 scheme is taxable,", Income nis chargeable to tax under the head salaries if employer employee relationship nexists. However, in case pension is received from employee s provident fund norganization there does not exist employer employee relationship. Therefore, nsuch pension is taxable under the head Income from other sources .",Original
428, FAQs on Deductions ,what is the upper limit maximum deduction available for hindu undivided family huf assessee under section 80d i e for the payment made towards medical insurance,", In the case of Hindu Undivided Family HUF , deduction under n , section 80D , can be claimed as follows , a xa0 xa0 xa0 xa0 , If the payment is made for medical insurance premium of any member of the HUF then deduction of Rs. 25,000 is allowed. , In case the member for whom the premium is paid is a senior citizen or a very senior citizen ,then deduction of Rs. 50,000 is allowed , b xa0 xa0 xa0 , If the payment is made for medical expenditure for any member of the HUF then deduction of Rs. 50,000 is allowed. This deduction is allowed with a condition that the payment is made for the treatment of a very senior citizen senior citizen from A.Y 2019 20 provided that payment of medical insurance premium is not made by such person. , Further, as per n , section 80D , the deduction provided under point a and b shall not exceed Rs. 50,000. , Further in case of single premium health insurance policies having cover of more than one year, deduction n , u s 8 0D , is allowed on proportionate basis for the number of years for which health insurance cover is provided to the extent of specified limit.",Original
429, FAQs on Deductions ,who is eligible for claiming deduction under section 80c for payment of tuition fees,"Deduction for payment of Tuition fees is available only to an Individual assessee and not to a HUF assessee. The deduction is available for any sum paid as tuition fee xa0for full time education of his her children. The deduction can be claimed for the maximum of two children. Children shall include even adopted and step children.Furthermore, payment made for the education of himself herself Individual assesse or spouse or xa0any member of the HUF is not eligible for deduction under xa0 , section 80C , . There is no defined age limit of children for claiming deduction of tuition fees.",Original
430, FAQs on Deductions ,what is the upper limit maximum deduction under section 80c,"As per the n , section 80C , of the Act, the deduction is available only to an Individual or a Hindu Undivided Family HUF xa0and deduction does not exceed Rs. 1,50,000 during a previous year. Taxpayer is eligible for deduction if contribution deposits investments payment made during the previous year. Tax payer should made investments deposits xa0 out of his taxable income or otherwise. , xa0",Original
431, FAQs on Deductions ,under which section interest on deposit in case of senior citizens is allowable as deduction,"xa0 xa0 xa0 xa0 xa0 xa0 xa0 n , Section 80TTB , in respect of interest on deposits in case of a senior citizen, has been introduced by Finance Act, 2018 which is effective from xa0 A.Y xa0 2019 20 n , xa0 xa0 xa0 xa0 xa0 xa0 xa0 The deduction under n , section 80TTB , is allowed only to a resident senior citizen i.e individual who is of the age of at least 60 years at any time during the previous year. , xa0 xa0 xa0 xa0 xa0 xa0 xa0 The deduction is available for any interest income on deposits with the following , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Savings accounts with bank or banking companies , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Savings accounts with post office , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Savings accounts with a co operative societies involved in banking business. , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Interest on fixed deposit , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Interest on time deposit , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Any other interest , xa0 , xa0 xa0 xa0 xa0 xa0 xa0 xa0 The deduction under n , section 80TTB , is Rs. 50,000 or the amount of interest ,whichever is lower . deductible from the gross total income of the eligible assessee. , xa0 xa0 xa0 xa0 xa0 xa0 xa0 Interest earned from saving bank account, fixed deposit or any other interest is considered as income under the head Income from other sources and taxable as such. However no deduction is allowed to a partner of firm , member of AOI or BOI in respect of interest income earned from any account held by or on behalf of a firm, an association of person or body of individuals. ,",Original
432, FAQs on Deductions ,can assessee claim deduction under section 80u and 80dd simultaneously,", n , Section 80 DD , is eligible for deduction to resident individual in respect of maintenance including medical treatment of a handicapped dependent, being a person with disability. Whereas n , Section 80U , eligible for deduction to individual in respect of a person with disability. , An assessee may claim both deductions simultaneously where assessee is resident individual xa0 himself and is a person with disability , Section 80U , and also has incurred an expenditure for the medical treatment of a dependent person with disability , Section 80DD , or has paid or deposited amount under any scheme framed in this behalf by the LIC or any other insurer, etc.",Original
433," FAQs on Interest under section 234A, 234B & 234C ",whether interest for short and late payment of advance tax is applicable if it is paid in pursuance of an order issued by the assessing officer,"If you fail to pay Advance Tax or pay at less than stipulated rates, you will be required to pay Interest Penalty under n , section 234B , n , 234C , of the Income Tax Act, 1961. , Therefore, n , even if assesse pays advance tax as per the order , under n , section 210 , , he shall still be liable to pay interest under n , section 234B , and n , 234C , if advance tax is not paid as per n , section 234B , and n , 234C , . , xa0",Original
434," FAQs on Interest under section 234A, 234B & 234C ",how interest under section 234c is calculated,"For a corporate and non corporate assesse the interest for the late payment deferment of advance tax instalment is as follows   , n , n , n , For corporate and non corporate assessee , n , Due date of instalment , n , Amount on which interest is payable , n , Rate of Interest , n , Period of interest , On or before June 15 , 15 , 1 per month , 3 months , On or before September 15 , 45 , 1 per month , 3 months , On or before Dec 15 , 75 , 1 per month , 3 months , xa0 , On or before March 15 , 100 , 1 per month , 1 month , xa0 , n , For Assessee covered by n , section 44AD , , n , Due date of instalment , n , Amount on which interest is payable , n , Rate of Interest , n , Period of interest , On or before March 15 , 100 , 1 per month , 1 month , xa0 , n , For Assessee covered by n , section 44ADA , On or before March 15 , 100 , 1 per month , 1 month , n , n , n , Click here , to calculate Advance Tax Liability",Original
435," FAQs on Interest under section 234A, 234B & 234C ",what are the consequence on failure to pay advance tax,"If you fail to pay Advance Tax or pay at a rate less than stipulated rates you will be required to pay Interest under n , sections 234B , n , 234C , of the Income Tax Act, 1961. , n , Interest under n , sections 234B , Interest 1 is payable if 90 of the tax is not paid before the end of the Financial year. This is for Default in payment of Advance tax . , n , Interest under n , section 234C ,   Interest 1 is payable if the tax is not paid as per the instalments schedule. This is for Deferment in Instalments of Advance tax .",Original
436, FAQ on Advance Tax ,is there any compliance if an assessee revises its estimate of income for advance tax,An assessee can revise the estimation of income and pay the taxes accordingly without any requirement of filing the estimation of income with the department.,Original
437, FAQ on Advance Tax ,can estimate of income be revised for the purpose of advance tax,"In case the assesee wants to revise the estimate of income after making first second instalment of advance tax, the assesse can revise the remaining instalment of advance tax in accordance with his revised es timate of current income and pay the advance tax accordingly.",Original
438, FAQ on Advance Tax ,what will be the due date for the payment of advance tax if the same is payable by virtue of an order from the assessing officer income tax officer,"Where advance tax is payable due to the notice of demand issued by Assessing Officer then whole or part of the advance tax is payable in the remaining instalments, i.e., instalments due during the financial year after the date of notice.",Original
439, FAQ on Advance Tax ,who is not required to pay advance tax,"A n , resident senior citizen , i.e., an individual of the age of 60 years or above during the financial year not having any income from business or profession is not liable to pay advance tax. , Taxpayer who opted for presumptive taxation scheme of n , section 44AD , or n , section 44ADA , is liable to pay 100 of advance tax by 15th March. ,",Original
440, FAQ on Advance Tax ,can i claim the deduction of advance tax payments against my profits,"Advance Tax is not an expense. , It is considered as an asset and adjusted against one s tax liabilities at the time of finalization of the Balance Sheet. , It is a charge on income and not considered as an expenditure. , It is shown under Loans and Advances in the Balance Sheet.",Original
441, FAQ on Advance Tax ,what to do if i forgot to bifurcate the amount of tax surcharge and cess while making the online payment,"Showing the total tax liability as Income tax, Education cess, Surcharge, etc., is advisable. , However, in the event the bifurcation of tax payment like, income tax, surcharge, Cess, etc., is not done due to any reason, there is no need to panic. , While filing the income tax return just mention the total amount. in income tax column and that would be xa0sufficient. However, at the time of filing income tax return, you should fill up the correct bifurcation details and then CPC will check it properly at the time of processing.",Original
